INDICE DE USOS - AREA DE TRATAMIENTO NORMATIVO I
Zonas: RDM, RDA, VT, CV, CZ, CM, I-1, I-2, I-3, I-4
P=Permitido, H=Compatible/Habilitado

D 15 4 4 01 | FABRICA DE OTROS PRODUCTOS DE PASTA COCIDOS | RDM=H RDA=H VT=H CV=H CZ=H CM=P I-1=P I-2=P I-3=P
D 15 4 4 02 | FABRICA DE PASTAS RELLENAS, COCIDAS O SIN COSER | RDM=H RDA=H VT=H CV=H CZ=H CM=P I-1=P I-2=P I-3=P
D 15 4 4 03 | FABRICA. DE PROD. DE PASTA CONSERVADOS EN RECIPIENTES HERMET | VT=H I-1=P I-2=P I-3=P
D 15 4 4 04 | FABRICA DE FIDEOS | RDM=H RDA=H VT=H CV=H CZ=H CM=H I-1=P I-2=P I-3=P
D 15 4 9 01 | FABRICA DE ESPECIAS, SALSAS, CONDIMENTOS Y MOSTAZA | VT=H I-1=P I-2=P
D 15 4 9 02 | FABRICA DE ESENCIAS DE TE O MATE | VT=H CZ=H CM=H I-1=P I-2=P
D 15 4 9 03 | FABRICA DE ESENCIAS DE CAFE | VT=H CZ=H CM=H I-1=P I-2=P
D 15 4 9 04 | FABRICA DE EXTRACTOS, JUGOS CARNE, PESCADO,MOLUSCOS | I-2=P
D 15 4 9 05 | FABRICA DE MIEL ARTIFICIAL | I-1=P I-2=P
D 15 4 9 06 | FABRICA DE SOPAS EN ESTADO LIQUIDO Y SOLIDO | I-1=P I-2=P
D 15 4 9 07 | FABRICA DE SOPAS DE CARNE, PESCADO, MOLUSCOS, ETC. | I-1=P I-2=P
D 15 4 9 08 | FABRICA DE VINAGRE, LEVADURA Y OTROS PRODUCTOS | VT=H I-1=P I-2=P
D 15 4 9 09 | ELABORACION DE EXTRACTOS DE CARNE | VT=H I-1=P I-2=P
D 15 4 9 10 | ELABORACION DE EXTRACTOS DE FRUTAS | VT=H I-1=P I-2=P
D 15 4 9 11 | ELABORACION DE EXTRACTOS DE HORTALIZAS | VT=H I-1=P I-2=P
D 15 4 9 12 | ELABORACION DE EXTRACTOS DE LECHE Y MALTA | VT=H I-1=P I-2=P
D 15 4 9 13 | ELABORACION DE EXTRACTOS DE PESCADO | I-2=P
D 15 4 9 14 | ALIMENTOS PARA LACTANTES E INVALIDOS INGREDIENTES HOMOGENIZA | I-1=P I-2=P
D 15 4 9 15 | HUEVOS ENTEROS ESTADO LIQUIDO, POLVO O CONGELADOS, ETC | I-1=P I-2=P
D 15 4 9 16 | TOSTADURA DE ACHICORIA, ELAB. OTROS SUCEDANEOS | I-1=P I-2=P
D 15 4 9 17 | TOSTADO DE NUECES, ELABORACION DE ALIMENTOS Y PASTAS | VT=H CM=H I-1=P I-2=P
D 15 4 9 18 | TOSTADO, MOLIENDA, DESCAFEINADO, ENVASE DE CAFE | VT=H CM=H I-1=P I-2=P
D 15 5 1 01 | PRODUCTORES DE COÑAC | I-1=P I-2=P I-3=P I-4=P
D 15 5 1 02 | PRODUCTORES DE GINEBRA | I-1=P I-2=P I-3=P I-4=P
D 15 5 1 03 | PRODUCTORES DE MEZCLAS, CORDIALES | I-1=P I-2=P I-3=P I-4=P
D 15 5 1 04 | FABRICA DE PISCOS Y OTROS LICORES | I-1=P I-2=P I-3=P I-4=P
D 15 5 1 05 | PRODUCTORES DE WHISKY | I-1=P I-2=P I-3=P I-4=P
D 15 5 1 06 | PRODUCTORES DE AGUARDIENTES NEUTROS | I-1=P I-2=P I-3=P I-4=P
D 15 5 1 07 | FABRICA DE LICORES MACERADOS | I-1=P I-2=P I-3=P I-4=P
D 15 5 2 01 | PRODUCTORES DE JEREZ | CM=H I-1=P I-2=P I-3=P I-4=P
D 15 5 2 02 | PRODUCTORES DE VINOS | CM=H I-1=P I-2=P I-3=P I-4=P
D 15 5 2 03 | PRODUCTORES DE VINOS ESPUMANTES | CM=H I-1=P I-2=P I-3=P I-4=P
